date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:32	274187/274187	---M-Z	200	added ('OK')	text/html	etag:%2242f0b-62b980b864f33-gzip%22	https://www.zavod-red-flag.ru/	C:/ddddd/awdawd/www.zavod-red-flag.ru/index.html	(from )
21:47:32	292/292	---M-Z	200	added ('OK')	text/plain	etag:%22306-62962f1d95800-gzip%22	https://www.zavod-red-flag.ru/robots.txt		(from )
21:47:33	24141/24141	---M--	200	added ('OK')	image/png	etag:%2219c05eee1b1a3927ed99dbcbdba13a6d%22	https://static.tildacdn.com/tild3866-6233-4331-a132-656633643664/_.png	C:/ddddd/awdawd/static.tildacdn.com/tild3866-6233-4331-a132-656633643664/_.png	(from https://www.zavod-red-flag.ru/)
21:47:34	2068/2068	---M--	200	added ('OK')	image/png	etag:%225d232f92c1b6e2a174f5e17b995eb93d%22	https://static.tildacdn.com/tild6539-3035-4437-b839-393262343630/_152.png	C:/ddddd/awdawd/static.tildacdn.com/tild6539-3035-4437-b839-393262343630/_152.png	(from https://www.zavod-red-flag.ru/)
21:47:34	6045/6045	---M--	200	added ('OK')	image/png	etag:%22b9b0ef8d9794eb92bd5b43b2ddb9eb50%22	https://static.tildacdn.com/tild3939-3637-4162-b966-616438373166/_270.png	C:/ddddd/awdawd/static.tildacdn.com/tild3939-3637-4162-b966-616438373166/_270.png	(from https://www.zavod-red-flag.ru/)
21:47:35	1918/1918	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266f2bc2d-77e%22	https://neo.tildacdn.com/js/tilda-fallback-1.0.min.js	C:/ddddd/awdawd/neo.tildacdn.com/js/tilda-fallback-1.0.min.js	(from https://www.zavod-red-flag.ru/)
21:47:35	4514/4514	---MCZ	200	added ('OK')	text/css	etag:W/%2263f4be99-11a2%22	https://static.tildacdn.com/css/tilda-grid-3.0.min.css	C:/ddddd/awdawd/static.tildacdn.com/css/tilda-grid-3.0.min.css	(from https://www.zavod-red-flag.ru/)
21:47:35	78680/78680	---MCZ	200	added ('OK')	text/css	date:Mon,%2013%20Jan%202025%2015:24:48%20GMT	https://static.tildacdn.com/ws/project215918/tilda-blocks-page1154892.min.css?t=1736781888	C:/ddddd/awdawd/static.tildacdn.com/ws/project215918/tilda-blocks-page1154892.min9802.css	(from https://www.zavod-red-flag.ru/)
21:47:36	2776/2776	---MCZ	200	added ('OK')	text/css	etag:W/%2265ccbdf9-ad8%22	https://static.tildacdn.com/css/tilda-animation-2.0.min.css	C:/ddddd/awdawd/static.tildacdn.com/css/tilda-animation-2.0.min.css	(from https://www.zavod-red-flag.ru/)
21:47:36	34513/34513	---MCZ	200	added ('OK')	text/css	etag:W/%2267ab51f7-86d1%22	https://static.tildacdn.com/css/tilda-forms-1.0.min.css	C:/ddddd/awdawd/static.tildacdn.com/css/tilda-forms-1.0.min.css	(from https://www.zavod-red-flag.ru/)
21:47:36	2746/2746	---MCZ	200	added ('OK')	text/css	etag:W/%22678e36db-aba%22	https://static.tildacdn.com/css/tilda-cover-1.0.min.css	C:/ddddd/awdawd/static.tildacdn.com/css/tilda-cover-1.0.min.css	(from https://www.zavod-red-flag.ru/)
21:47:36	2401/2401	---MCZ	200	added ('OK')	text/css	etag:W/%2264a54524-961%22	https://static.tildacdn.com/css/tilda-popup-1.1.min.css	C:/ddddd/awdawd/static.tildacdn.com/css/tilda-popup-1.1.min.css	(from https://www.zavod-red-flag.ru/)
21:47:36	9882/9882	---MCZ	200	added ('OK')	text/css	etag:W/%22678e6001-269a%22	https://static.tildacdn.com/css/tilda-slds-1.4.min.css	C:/ddddd/awdawd/static.tildacdn.com/css/tilda-slds-1.4.min.css	(from https://www.zavod-red-flag.ru/)
21:47:37	62861/62861	---MCZ	200	added ('OK')	text/css	etag:W/%2267d19272-f58d%22	https://static.tildacdn.com/css/tilda-catalog-1.1.min.css	C:/ddddd/awdawd/static.tildacdn.com/css/tilda-catalog-1.1.min.css	(from https://www.zavod-red-flag.ru/)
21:47:37	758/758	---MCZ	200	added ('OK')	text/css	etag:W/%22645d06e7-2f6%22	https://static.tildacdn.com/css/tilda-cards-1.0.min.css	C:/ddddd/awdawd/static.tildacdn.com/css/tilda-cards-1.0.min.css	(from https://www.zavod-red-flag.ru/)
21:47:37	4499/4499	---MCZ	200	added ('OK')	text/css	etag:W/%22605342c5-1193%22	https://static.tildacdn.com/css/tilda-slides-1.0.min.css	C:/ddddd/awdawd/static.tildacdn.com/css/tilda-slides-1.0.min.css	(from https://www.zavod-red-flag.ru/)
